p_o|p_d|t_1|t_2|demand
72|198|1|2|1113.63
72|198|2|3|1116.66
72|198|3|4|1150.38
72|198|4|6|1241.04
72|198|5|6|1169.85
72|198|6|8|1161.06
72|198|7|8|1246.35
72|198|8|9|1224.66
72|198|9|11|1144.31
72|198|10|11|921.7
72|198|11|12|922.04
72|198|12|14|953.77
72|198|13|15|860.14
72|198|14|15|1252.26
72|198|15|16|1032.76
72|198|16|17|1041.15
72|198|17|18|1195.34
72|198|18|20|1069.08
72|198|19|21|1003.31
72|198|20|21|1186.57
72|198|21|22|1202.27
72|198|22|24|1069.19
72|198|23|24|1226.42
72|198|24|26|1062.1
72|198|25|27|1230.14
72|198|26|27|1081.92
72|198|27|29|1104.96
72|198|28|29|1307.78
72|198|29|30|991.67
72|198|30|31|1020.15
72|198|31|32|1116.54
72|198|32|34|965.92
72|198|33|34|927.77
72|198|34|36|944.57
72|198|35|36|809.58
72|198|36|37|825.87
72|198|37|38|848.02
72|198|38|40|941.44
72|198|39|40|1172.52
72|198|40|42|1007.54
72|198|41|43|1113.49
72|198|42|43|895.16
72|198|43|44|852.17
72|198|44|45|885.5
72|198|45|46|1115.96
72|198|46|48|786.2
72|198|47|49|925.03
72|198|48|49|911.25
72|198|49|51|1103.24
72|198|50|52|989.56
72|198|51|1|1114.49
72|198|52|2|985.4
72|216|1|2|13.74
72|216|2|4|19.93
72|216|3|5|18.28
72|216|4|6|18.7
72|216|5|7|17.29
72|216|6|8|13.31
72|216|7|9|15.61
72|216|8|10|17.34
72|216|9|11|16.05
72|216|10|11|16.18
72|216|11|13|16.27
72|216|12|14|17.61
72|216|13|14|14.03
72|216|14|16|16.44
72|216|15|16|19.61
72|216|16|17|14.63
72|216|17|18|18.87
72|216|18|20|15.07
72|216|19|21|18.52
72|216|20|21|20.0
72|216|21|23|19.28
72|216|22|24|15.99
72|216|23|24|19.26
72|216|24|26|18.25
72|216|25|27|16.03
72|216|26|27|20.42
72|216|27|28|13.87
72|216|28|29|14.81
72|216|29|31|17.71
72|216|30|32|18.44
72|216|31|33|13.83
72|216|32|33|15.64
72|216|33|35|15.39
72|216|34|35|17.1
72|216|35|37|16.72
72|216|36|37|15.38
72|216|37|38|15.2
72|216|38|40|17.13
72|216|39|41|19.85
72|216|40|41|14.07
72|216|41|43|14.64
72|216|42|44|13.43
72|216|43|44|12.08
72|216|44|46|16.18
72|216|45|46|14.86
72|216|46|47|17.27
72|216|47|49|13.56
72|216|48|49|17.15
72|216|49|51|16.84
72|216|50|52|14.29
72|216|51|52|13.11
72|216|52|1|12.4
72|469|1|2|496.86
72|469|2|4|686.12
72|469|3|5|616.81
72|469|4|6|663.11
72|469|5|7|653.12
72|469|6|8|507.13
72|469|7|8|495.12
72|469|8|10|510.58
72|469|9|10|552.12
72|469|10|11|513.28
72|469|11|12|572.57
72|469|12|14|530.17
72|469|13|15|516.07
72|469|14|16|607.87
72|469|15|16|731.1
72|469|16|18|595.04
72|469|17|19|499.39
72|469|18|20|727.45
72|469|19|20|651.44
72|469|20|22|587.52
72|469|21|23|565.36
72|469|22|23|551.69
72|469|23|24|664.28
72|469|24|25|536.61
72|469|25|27|608.67
72|469|26|28|499.76
72|469|27|28|615.98
72|469|28|29|600.81
72|469|29|30|642.58
72|469|30|31|681.51
72|469|31|33|512.12
72|469|32|33|532.9
72|469|33|35|590.99
72|469|34|35|571.0
72|469|35|36|563.39
72|469|36|38|592.22
72|469|37|38|629.06
72|469|38|39|511.84
72|469|39|40|557.87
72|469|40|41|435.9
72|469|41|42|598.58
72|469|42|44|536.56
72|469|43|45|455.89
72|469|44|45|563.3
72|469|45|46|515.78
72|469|46|47|557.04
72|469|47|49|535.46
72|469|48|49|527.42
72|469|49|51|618.61
72|469|50|52|528.08
72|469|51|1|580.5
72|469|52|2|595.84
72|689|1|2|1519.91
72|689|2|3|1732.1
72|689|3|5|2189.92
72|689|4|6|1717.51
