p_o|p_d|t_1|t_2|demand
72|198|1|2|851.77
72|198|2|3|765.6
72|198|3|4|968.46
72|198|4|6|909.55
72|198|5|6|982.19
72|198|6|8|910.8
72|198|7|8|844.48
72|198|8|9|721.93
72|198|9|11|774.73
72|198|10|11|965.93
72|198|11|12|923.68
72|198|12|14|990.69
72|198|13|15|782.55
72|198|14|15|827.74
72|198|15|16|929.9
72|198|16|17|854.41
72|198|17|18|829.57
72|198|18|20|813.93
72|198|19|21|778.94
72|198|20|21|886.26
72|198|21|22|843.56
72|198|22|24|1011.7
72|198|23|24|1091.24
72|198|24|26|1056.74
72|198|25|27|762.26
72|198|26|27|733.85
72|198|27|29|836.03
72|198|28|29|923.88
72|198|29|30|891.63
72|198|30|31|817.74
72|198|31|32|819.96
72|198|32|34|708.34
72|198|33|34|935.08
72|198|34|36|824.37
72|198|35|36|726.98
72|198|36|37|987.19
72|198|37|38|727.53
72|198|38|40|923.09
72|198|39|40|880.06
72|198|40|42|857.88
72|198|41|43|749.63
72|198|42|43|884.46
72|198|43|44|820.49
72|198|44|45|849.11
72|198|45|46|705.9
72|198|46|48|785.34
72|198|47|49|920.93
72|198|48|49|919.28
72|198|49|51|691.83
72|198|50|52|684.07
72|198|51|1|930.8
72|198|52|2|739.93
72|216|1|2|14.18
72|216|2|4|13.56
72|216|3|5|13.33
72|216|4|6|12.67
72|216|5|7|12.4
72|216|6|8|12.71
72|216|7|9|10.94
72|216|8|10|14.82
72|216|9|11|13.94
72|216|10|11|13.57
72|216|11|13|12.59
72|216|12|14|16.74
72|216|13|14|13.24
72|216|14|16|15.45
72|216|15|16|16.62
72|216|16|17|16.52
72|216|17|18|12.16
72|216|18|20|14.19
72|216|19|21|12.93
72|216|20|21|17.32
72|216|21|23|14.79
72|216|22|24|15.37
72|216|23|24|14.39
72|216|24|26|14.06
72|216|25|27|13.78
72|216|26|27|13.99
72|216|27|28|15.01
72|216|28|29|13.95
72|216|29|31|15.23
72|216|30|32|16.35
72|216|31|33|15.37
72|216|32|33|15.98
72|216|33|35|10.89
72|216|34|35|15.33
72|216|35|37|13.25
72|216|36|37|10.52
72|216|37|38|14.54
72|216|38|40|16.38
72|216|39|41|16.36
72|216|40|41|13.67
72|216|41|43|12.47
72|216|42|44|13.2
72|216|43|44|11.32
72|216|44|46|11.29
72|216|45|46|14.26
72|216|46|47|12.23
72|216|47|49|12.41
72|216|48|49|11.22
72|216|49|51|11.85
72|216|50|52|12.41
72|216|51|52|11.36
72|216|52|1|13.28
72|469|1|2|448.97
72|469|2|4|542.01
72|469|3|5|431.36
72|469|4|6|466.82
72|469|5|7|529.64
72|469|6|8|456.22
72|469|7|8|442.37
72|469|8|10|483.58
72|469|9|10|496.55
72|469|10|11|496.23
