p_o|p_d|t_1|t_2|demand
72|198|1|2|849.54
72|198|2|3|1289.24
72|198|3|4|1296.61
72|198|4|6|1204.16
72|198|5|6|942.43
72|198|6|8|1131.29
72|198|7|8|1126.41
72|198|8|9|1220.51
72|198|9|11|1173.39
72|198|10|11|1263.6
72|198|11|12|1014.12
72|198|12|14|908.25
72|198|13|15|861.73
72|198|14|15|1006.5
72|198|15|16|1331.95
72|198|16|17|1313.12
72|198|17|18|1015.79
72|198|18|20|939.93
72|198|19|21|1088.53
72|198|20|21|1190.61
72|198|21|22|1201.41
72|198|22|24|1090.66
72|198|23|24|1080.63
72|198|24|26|1269.77
72|198|25|27|1289.19
72|198|26|27|1001.75
72|198|27|29|1257.56
72|198|28|29|1053.88
72|198|29|30|1019.8
72|198|30|31|996.76
72|198|31|32|1080.74
72|198|32|34|1043.09
72|198|33|34|882.44
72|198|34|36|860.85
72|198|35|36|1081.95
72|198|36|37|1102.08
72|198|37|38|1129.47
72|198|38|40|1198.56
72|198|39|40|936.75
72|198|40|42|819.28
72|198|41|43|1141.39
72|198|42|43|976.1
72|198|43|44|1109.11
72|198|44|45|1021.23
72|198|45|46|1077.83
72|198|46|48|969.36
72|198|47|49|1006.66
72|198|48|49|807.57
72|198|49|51|1004.45
72|198|50|52|1132.09
72|198|51|1|832.76
72|198|52|2|892.8
72|216|1|2|17.86
72|216|2|4|17.36
72|216|3|5|18.31
72|216|4|6|17.62
72|216|5|7|13.52
72|216|6|8|16.47
72|216|7|9|17.15
72|216|8|10|17.9
72|216|9|11|17.32
72|216|10|11|15.02
72|216|11|13|16.21
72|216|12|14|16.06
72|216|13|14|16.62
72|216|14|16|16.49
72|216|15|16|18.82
72|216|16|17|17.72
72|216|17|18|14.89
72|216|18|20|20.37
72|216|19|21|17.08
72|216|20|21|17.1
72|216|21|23|20.12
72|216|22|24|15.28
72|216|23|24|15.04
72|216|24|26|16.2
72|216|25|27|16.76
72|216|26|27|19.17
72|216|27|28|16.32
72|216|28|29|17.55
72|216|29|31|16.23
72|216|30|32|14.29
72|216|31|33|18.83
72|216|32|33|14.56
72|216|33|35|18.49
72|216|34|35|16.47
72|216|35|37|12.45
72|216|36|37|13.07
72|216|37|38|17.81
72|216|38|40|19.86
72|216|39|41|18.27
72|216|40|41|15.14
72|216|41|43|15.91
72|216|42|44|17.26
72|216|43|44|15.73
72|216|44|46|16.36
72|216|45|46|14.75
72|216|46|47|14.61
72|216|47|49|15.48
72|216|48|49|18.03
72|216|49|51|17.97
72|216|50|52|15.24
72|216|51|52|14.37
72|216|52|1|14.28
72|469|1|2|625.54
72|469|2|4|495.55
72|469|3|5|507.25
72|469|4|6|692.14
72|469|5|7|619.97
72|469|6|8|504.03
72|469|7|8|517.56
72|469|8|10|485.46
72|469|9|10|583.18
72|469|10|11|632.91
72|469|11|12|715.54
72|469|12|14|573.56
72|469|13|15|482.68
72|469|14|16|585.21
72|469|15|16|676.12
72|469|16|18|702.3
72|469|17|19|718.99
72|469|18|20|538.8
72|469|19|20|637.96
72|469|20|22|717.47
72|469|21|23|681.65
72|469|22|23|468.28
72|469|23|24|522.77
72|469|24|25|687.16
72|469|25|27|520.47
72|469|26|28|500.56
72|469|27|28|528.46
72|469|28|29|711.34
72|469|29|30|557.12
72|469|30|31|712.16
72|469|31|33|512.41
72|469|32|33|667.54
72|469|33|35|547.18
72|469|34|35|481.18
72|469|35|36|542.51
72|469|36|38|614.59
72|469|37|38|641.48
