p_o|p_d|t_1|t_2|demand
72|198|1|2|886.26
72|198|2|3|1140.81
72|198|3|4|1247.56
72|198|4|6|1202.49
72|198|5|6|1016.12
72|198|6|8|1109.1
72|198|7|8|987.31
72|198|8|9|947.26
72|198|9|11|1149.79
72|198|10|11|910.49
72|198|11|12|1226.32
72|198|12|14|1093.86
72|198|13|15|1077.69
72|198|14|15|899.48
72|198|15|16|1016.35
72|198|16|17|969.68
72|198|17|18|1182.13
72|198|18|20|1214.9
72|198|19|21|1255.51
72|198|20|21|1096.44
72|198|21|22|1141.89
72|198|22|24|1017.19
72|198|23|24|1094.06
72|198|24|26|1025.42
72|198|25|27|1257.94
72|198|26|27|1302.29
72|198|27|29|912.61
72|198|28|29|996.47
72|198|29|30|1118.15
72|198|30|31|1075.23
72|198|31|32|1024.41
72|198|32|34|1198.92
72|198|33|34|829.0
72|198|34|36|995.81
72|198|35|36|1087.9
72|198|36|37|950.95
72|198|37|38|1169.68
72|198|38|40|1164.74
72|198|39|40|1251.26
72|198|40|42|767.47
72|198|41|43|1052.85
72|198|42|43|995.1
72|198|43|44|1085.31
72|198|44|45|864.14
72|198|45|46|1035.76
72|198|46|48|1029.92
72|198|47|49|1088.6
72|198|48|49|830.12
72|198|49|51|964.37
72|198|50|52|1195.0
72|198|51|1|1020.17
72|198|52|2|913.33
72|216|1|2|13.43
72|216|2|4|19.04
72|216|3|5|19.1
72|216|4|6|17.3
72|216|5|7|14.03
72|216|6|8|18.1
72|216|7|9|14.77
72|216|8|10|15.75
72|216|9|11|15.46
72|216|10|11|17.4
72|216|11|13|17.16
72|216|12|14|18.72
72|216|13|14|18.25
72|216|14|16|19.53
72|216|15|16|20.03
72|216|16|17|14.93
72|216|17|18|19.69
72|216|18|20|17.21
72|216|19|21|21.16
72|216|20|21|15.83
72|216|21|23|15.21
72|216|22|24|13.77
72|216|23|24|14.37
72|216|24|26|16.3
72|216|25|27|18.59
72|216|26|27|14.82
72|216|27|28|17.81
72|216|28|29|13.92
72|216|29|31|20.6
72|216|30|32|19.28
72|216|31|33|15.25
72|216|32|33|13.08
72|216|33|35|16.16
72|216|34|35|14.37
72|216|35|37|16.89
72|216|36|37|18.26
72|216|37|38|16.89
72|216|38|40|18.71
72|216|39|41|17.21
72|216|40|41|14.61
72|216|41|43|17.38
72|216|42|44|14.56
72|216|43|44|12.94
72|216|44|46|11.97
72|216|45|46|13.47
72|216|46|47|16.03
72|216|47|49|16.78
72|216|48|49|14.95
72|216|49|51|13.33
72|216|50|52|15.18
72|216|51|52|17.94
72|216|52|1|14.45
72|469|1|2|611.24
72|469|2|4|688.86
72|469|3|5|698.39
72|469|4|6|668.01
72|469|5|7|624.92
72|469|6|8|592.2
72|469|7|8|565.18
72|469|8|10|529.37
72|469|9|10|638.21
72|469|10|11|667.76
72|469|11|12|671.66
72|469|12|14|710.38
72|469|13|15|652.04
72|469|14|16|525.14
72|469|15|16|635.53
72|469|16|18|662.38
72|469|17|19|572.78
72|469|18|20|558.56
72|469|19|20|689.35
72|469|20|22|714.0
72|469|21|23|604.46
72|469|22|23|508.68
72|469|23|24|625.13
72|469|24|25|526.12
72|469|25|27|723.03
72|469|26|28|540.41
72|469|27|28|613.68
72|469|28|29|600.06
72|469|29|30|632.42
72|469|30|31|496.87
72|469|31|33|654.76
72|469|32|33|527.57
72|469|33|35|464.6
72|469|34|35|480.49
72|469|35|36|605.74
72|469|36|38|501.35
72|469|37|38|468.37
72|469|38|39|612.26
72|469|39|40|544.21
72|469|40|41|619.15
72|469|41|42|599.8
72|469|42|44|546.27
72|469|43|45|535.12
72|469|44|45|540.44
72|469|45|46|455.35
72|469|46|47|521.25
72|469|47|49|549.54
72|469|48|49|525.85
72|469|49|51|573.56
72|469|50|52|520.84
72|469|51|1|437.59
72|469|52|2|532.33
72|689|1|2|1848.61
72|689|2|3|1785.45
72|689|3|5|2160.63
72|689|4|6|2072.5
72|689|5|7|2150.23
72|689|6|7|2240.22
72|689|7|8|1915.53
72|689|8|10|1643.96
72|689|9|10|1624.72
72|689|10|12|1985.69
72|689|11|13|2097.68
72|689|12|14|1767.76
72|689|13|15|1722.86
72|689|14|15|1742.87
72|689|15|17|2302.87
72|689|16|18|1934.26
72|689|17|19|1854.7
72|689|18|19|1953.71
72|689|19|21|1936.95
72|689|20|22|2200.76
72|689|21|22|2026.91
72|689|22|23|2182.47
72|689|23|25|1634.42
72|689|24|25|1674.73
72|689|25|26|2170.65
72|689|26|27|1822.94
72|689|27|28|2100.99
72|689|28|30|1601.28
72|689|29|31|2233.65
72|689|30|31|1852.66
72|689|31|33|1749.06
72|689|32|33|1705.74
72|689|33|35|1689.59
72|689|34|35|1657.52
72|689|35|37|2018.76
72|689|36|37|2160.05
72|689|37|39|1604.26
72|689|38|40|1726.99
72|689|39|41|2222.8
72|689|40|42|1566.73
72|689|41|43|2038.74
72|689|42|43|1477.58
72|689|43|44|2069.89
72|689|44|45|1695.0
72|689|45|47|1509.42
72|689|46|48|1791.58
72|689|47|48|1428.4
72|689|48|50|2088.13
72|689|49|50|1901.99
72|689|50|52|2126.19
72|689|51|52|2158.58
72|689|52|1|1719.36
72|780|1|2|3354.05
72|780|2|3|3117.54
72|780|3|5|3663.06
72|780|4|6|2435.0
72|780|5|6|3305.51
72|780|6|7|2874.58
72|780|7|9|2420.84
72|780|8|10|3410.87
72|780|9|10|3224.22
72|780|10|12|2655.26
72|780|11|12|2561.65
72|780|12|13|3645.74
72|780|13|14|2774.5
72|780|14|16|2587.93
72|780|15|16|3020.57
72|780|16|17|3096.86
72|780|17|19|2943.34
72|780|18|20|3767.42
72|780|19|20|2838.65
72|780|20|22|3727.09
72|780|21|22|3485.33
72|780|22|23|3342.81
72|780|23|25|3550.03
72|780|24|26|3509.19
72|780|25|26|3232.61
72|780|26|27|2870.32
72|780|27|28|3052.89
72|780|28|30|3410.9
72|780|29|31|2687.28
72|780|30|31|3543.59
72|780|31|33|2824.14
72|780|32|33|2835.77
72|780|33|34|3423.56
72|780|34|36|2765.19
72|780|35|36|2436.64
72|780|36|38|3375.83
72|780|37|38|2701.77
72|780|38|40|3526.86
72|780|39|41|2483.0
72|780|40|41|2497.41
72|780|41|43|2447.86
72|780|42|43|2881.32
72|780|43|45|2354.12
72|780|44|46|2248.69
72|780|45|47|2469.93
72|780|46|47|3103.47
72|780|47|49|2759.09
72|780|48|50|2490.93
72|780|49|50|2756.16
72|780|50|52|2403.79
72|780|51|52|2279.86
72|780|52|1|2623.13
72|963|1|2|1.36
72|963|2|4|2.03
72|963|3|4|1.61
72|963|4|5|1.46
72|963|5|7|1.9
72|963|6|8|1.6
72|963|7|8|1.43
72|963|8|10|1.92
72|963|9|10|1.65
72|963|10|11|1.62
72|963|11|12|1.46
72|963|12|13|1.82
72|963|13|15|1.77
72|963|14|15|1.35
72|963|15|17|1.89
72|963|16|17|1.85
72|963|17|19|1.39
72|963|18|19|2.05
72|963|19|21|1.61
72|963|20|22|1.65
72|963|21|23|1.82
72|963|22|24|1.77
72|963|23|24|1.89
72|963|24|26|1.91
72|963|25|27|1.69
72|963|26|28|1.97
72|963|27|28|1.44
72|963|28|29|1.84
72|963|29|30|1.8
72|963|30|31|1.49
72|963|31|32|1.42
72|963|32|33|1.9
72|963|33|34|1.8
72|963|34|36|1.73
72|963|35|36|1.76
72|963|36|38|1.33
72|963|37|39|1.36
72|963|38|40|1.48
72|963|39|41|1.65
72|963|40|41|1.2
72|963|41|42|1.48
72|963|42|43|1.22
72|963|43|44|1.38
72|963|44|45|1.35
72|963|45|47|1.73
72|963|46|48|1.8
72|963|47|48|1.43
72|963|48|50|1.32
72|963|49|50|1.78
72|963|50|52|1.54
72|963|51|52|1.76
72|963|52|2|1.47
72|1056|1|2|1090.06
72|1056|2|4|1220.87
72|1056|3|5|1078.56
72|1056|4|5|1121.28
72|1056|5|6|879.32
72|1056|6|8|978.66
72|1056|7|9|909.26
72|1056|8|9|977.79
72|1056|9|11|967.66
72|1056|10|12|1067.38
72|1056|11|12|1093.4
72|1056|12|14|1018.38
72|1056|13|15|1048.51
72|1056|14|16|1220.38
72|1056|15|17|979.34
72|1056|16|17|1098.6
72|1056|17|18|1009.4
72|1056|18|20|1177.5
72|1056|19|20|1207.43
72|1056|20|22|979.57
72|1056|21|23|1015.95
72|1056|22|24|973.12
72|1056|23|25|902.18
72|1056|24|26|1269.15
72|1056|25|27|1132.44
72|1056|26|28|1020.81
72|1056|27|28|1000.52
72|1056|28|30|1124.66
72|1056|29|31|1232.77
72|1056|30|32|1155.77
72|1056|31|33|1166.68
72|1056|32|33|1160.89
72|1056|33|34|829.6
72|1056|34|36|841.07
72|1056|35|37|1090.96
