p_o|p_d|t_1|t_2|demand
72|198|1|2|990.15
72|198|2|3|1132.53
72|198|3|4|939.54
72|198|4|6|1278.43
72|198|5|6|920.25
72|198|6|8|851.72
72|198|7|8|885.12
72|198|8|9|946.8
72|198|9|11|1031.79
72|198|10|11|1307.52
72|198|11|12|905.72
72|198|12|14|1275.86
72|198|13|15|1161.88
72|198|14|15|1185.97
72|198|15|16|1283.38
72|198|16|17|1066.67
72|198|17|18|1031.67
72|198|18|20|1304.43
72|198|19|21|1176.58
72|198|20|21|904.2
72|198|21|22|1099.64
72|198|22|24|1109.87
72|198|23|24|932.05
72|198|24|26|988.41
72|198|25|27|1010.58
72|198|26|27|959.45
72|198|27|29|1156.47
72|198|28|29|1070.64
72|198|29|30|1013.29
72|198|30|31|1177.67
72|198|31|32|936.92
72|198|32|34|1088.49
72|198|33|34|1053.8
72|198|34|36|1109.97
72|198|35|36|1108.11
72|198|36|37|1033.56
72|198|37|38|1228.74
72|198|38|40|1111.24
72|198|39|40|1052.83
72|198|40|42|958.47
72|198|41|43|938.76
72|198|42|43|1001.54
72|198|43|44|781.15
72|198|44|45|944.46
72|198|45|46|930.3
72|198|46|48|976.65
72|198|47|49|1164.6
72|198|48|49|1152.03
72|198|49|51|1118.34
72|198|50|52|1101.84
72|198|51|1|1170.39
72|198|52|2|889.53
72|216|1|2|17.93
72|216|2|4|19.22
72|216|3|5|19.72
72|216|4|6|19.4
72|216|5|7|15.47
72|216|6|8|14.78
72|216|7|9|15.25
72|216|8|10|19.28
72|216|9|11|19.4
72|216|10|11|14.11
72|216|11|13|14.13
72|216|12|14|15.88
72|216|13|14|14.77
72|216|14|16|15.35
72|216|15|16|18.45
72|216|16|17|18.31
72|216|17|18|20.78
72|216|18|20|16.26
72|216|19|21|14.97
72|216|20|21|15.71
72|216|21|23|16.76
72|216|22|24|15.9
72|216|23|24|16.67
72|216|24|26|16.27
72|216|25|27|17.31
72|216|26|27|14.8
72|216|27|28|19.16
72|216|28|29|14.52
72|216|29|31|18.89
72|216|30|32|15.67
72|216|31|33|13.94
72|216|32|33|14.77
72|216|33|35|15.78
72|216|34|35|13.66
72|216|35|37|16.52
72|216|36|37|18.38
72|216|37|38|14.78
72|216|38|40|14.89
72|216|39|41|17.87
72|216|40|41|12.07
72|216|41|43|15.88
72|216|42|44|12.88
72|216|43|44|17.0
72|216|44|46|15.1
72|216|45|46|13.64
72|216|46|47|12.76
72|216|47|49|15.24
72|216|48|49|17.24
72|216|49|51|16.03
72|216|50|52|18.68
72|216|51|52|17.23
72|216|52|1|18.3
72|469|1|2|499.55
72|469|2|4|533.72
72|469|3|5|642.87
72|469|4|6|480.48
72|469|5|7|576.18
72|469|6|8|562.03
72|469|7|8|542.91
72|469|8|10|653.84
72|469|9|10|617.14
72|469|10|11|676.05
72|469|11|12|499.8
72|469|12|14|641.64
72|469|13|15|657.05
72|469|14|16|605.57
72|469|15|16|564.8
72|469|16|18|665.51
72|469|17|19|699.08
72|469|18|20|560.31
72|469|19|20|683.95
72|469|20|22|719.81
72|469|21|23|633.84
72|469|22|23|564.2
72|469|23|24|692.04
72|469|24|25|608.61
72|469|25|27|690.67
72|469|26|28|561.68
72|469|27|28|684.4
72|469|28|29|584.05
72|469|29|30|697.65
72|469|30|31|590.63
72|469|31|33|456.78
72|469|32|33|662.47
72|469|33|35|614.65
72|469|34|35|558.31
72|469|35|36|447.41
72|469|36|38|618.02
72|469|37|38|509.93
72|469|38|39|539.66
72|469|39|40|536.2
72|469|40|41|530.04
72|469|41|42|514.0
72|469|42|44|520.66
72|469|43|45|529.48
72|469|44|45|526.15
72|469|45|46|532.68
72|469|46|47|530.01
72|469|47|49|511.3
72|469|48|49|551.6
72|469|49|51|557.07
72|469|50|52|560.05
72|469|51|1|458.43
72|469|52|2|528.02
72|689|1|2|1676.63
72|689|2|3|2069.65
72|689|3|5|2356.19
72|689|4|6|1961.25
72|689|5|7|2095.41
72|689|6|7|1710.1
72|689|7|8|1525.85
72|689|8|10|1589.32
72|689|9|10|2089.57
72|689|10|12|2085.34
72|689|11|13|2126.7
72|689|12|14|1627.11
72|689|13|15|1788.29
72|689|14|15|1615.76
72|689|15|17|2122.04
72|689|16|18|1938.59
72|689|17|19|1676.14
72|689|18|19|1930.54
72|689|19|21|2028.62
72|689|20|22|1904.72
72|689|21|22|2037.79
72|689|22|23|2022.13
72|689|23|25|2135.16
72|689|24|25|2437.12
72|689|25|26|2041.04
72|689|26|27|2099.35
72|689|27|28|2169.91
72|689|28|30|1929.9
72|689|29|31|2207.33
72|689|30|31|2226.34
72|689|31|33|1597.14
72|689|32|33|1703.75
72|689|33|35|1954.87
72|689|34|35|2016.28
72|689|35|37|1940.45
72|689|36|37|1880.13
72|689|37|39|1636.01
72|689|38|40|2182.23
72|689|39|41|1723.15
72|689|40|42|1616.97
72|689|41|43|1570.95
72|689|42|43|1924.67
72|689|43|44|1399.28
72|689|44|45|1666.6
72|689|45|47|1713.6
72|689|46|48|1802.02
72|689|47|48|2100.13
72|689|48|50|1882.88
72|689|49|50|1439.13
