p_o|p_d|t_1|t_2|demand
72|198|1|2|1079.27
72|198|2|3|1009.35
72|198|3|4|1254.4
72|198|4|6|964.82
72|198|5|6|1079.55
72|198|6|8|1150.39
72|198|7|8|973.34
72|198|8|9|1141.93
72|198|9|11|905.57
72|198|10|11|1142.1
72|198|11|12|951.12
72|198|12|14|1239.38
72|198|13|15|1073.76
72|198|14|15|914.64
72|198|15|16|1103.09
72|198|16|17|1248.81
72|198|17|18|1066.84
72|198|18|20|1339.32
72|198|19|21|1054.45
72|198|20|21|980.81
72|198|21|22|1142.16
72|198|22|24|932.52
72|198|23|24|1053.82
72|198|24|26|1024.71
72|198|25|27|1298.8
72|198|26|27|1007.72
72|198|27|29|1100.68
72|198|28|29|1150.31
72|198|29|30|965.44
72|198|30|31|1025.75
72|198|31|32|919.4
72|198|32|34|1058.42
72|198|33|34|1101.99
72|198|34|36|852.44
72|198|35|36|845.37
72|198|36|37|841.97
72|198|37|38|980.15
72|198|38|40|867.85
72|198|39|40|1032.51
72|198|40|42|936.66
72|198|41|43|1149.42
72|198|42|43|1118.03
72|198|43|44|792.34
72|198|44|45|919.71
72|198|45|46|996.54
72|198|46|48|1142.89
72|198|47|49|1008.27
72|198|48|49|898.15
72|198|49|51|1074.02
72|198|50|52|1171.26
72|198|51|1|822.3
72|198|52|2|874.66
72|216|1|2|13.85
72|216|2|4|16.92
72|216|3|5|15.78
72|216|4|6|14.31
72|216|5|7|18.57
72|216|6|8|15.05
72|216|7|9|14.69
72|216|8|10|15.1
72|216|9|11|15.59
72|216|10|11|15.6
72|216|11|13|17.36
72|216|12|14|19.89
72|216|13|14|18.41
72|216|14|16|19.56
72|216|15|16|18.28
72|216|16|17|13.88
72|216|17|18|17.77
72|216|18|20|15.11
72|216|19|21|16.29
72|216|20|21|20.48
72|216|21|23|15.01
72|216|22|24|16.13
72|216|23|24|16.67
72|216|24|26|14.19
72|216|25|27|18.5
72|216|26|27|19.46
72|216|27|28|15.11
72|216|28|29|15.31
72|216|29|31|17.79
72|216|30|32|17.32
72|216|31|33|17.69
72|216|32|33|16.21
72|216|33|35|14.43
72|216|34|35|16.83
72|216|35|37|12.55
72|216|36|37|13.7
72|216|37|38|13.6
72|216|38|40|16.43
72|216|39|41|19.23
72|216|40|41|17.51
72|216|41|43|16.27
72|216|42|44|13.32
72|216|43|44|16.23
72|216|44|46|16.04
72|216|45|46|13.47
72|216|46|47|12.13
72|216|47|49|15.36
72|216|48|49|16.74
72|216|49|51|14.93
72|216|50|52|15.56
72|216|51|52|17.67
72|216|52|1|17.5
72|469|1|2|578.5
72|469|2|4|689.66
72|469|3|5|594.7
72|469|4|6|600.73
72|469|5|7|473.52
72|469|6|8|554.78
72|469|7|8|589.14
72|469|8|10|660.48
72|469|9|10|656.56
72|469|10|11|642.7
72|469|11|12|520.44
72|469|12|14|582.21
72|469|13|15|542.28
72|469|14|16|687.15
72|469|15|16|727.03
72|469|16|18|538.79
72|469|17|19|513.52
72|469|18|20|744.57
72|469|19|20|533.78
72|469|20|22|513.92
72|469|21|23|653.61
72|469|22|23|584.48
72|469|23|24|566.82
72|469|24|25|690.88
72|469|25|27|505.06
72|469|26|28|622.67
72|469|27|28|524.0
72|469|28|29|701.71
72|469|29|30|497.92
72|469|30|31|687.17
72|469|31|33|549.57
72|469|32|33|655.45
72|469|33|35|569.02
72|469|34|35|643.65
72|469|35|36|558.76
72|469|36|38|563.05
72|469|37|38|485.87
72|469|38|39|690.52
72|469|39|40|635.15
72|469|40|41|537.38
72|469|41|42|583.31
72|469|42|44|593.44
72|469|43|45|613.19
72|469|44|45|595.75
72|469|45|46|460.55
72|469|46|47|521.94
72|469|47|49|617.85
72|469|48|49|476.15
72|469|49|51|563.67
72|469|50|52|503.81
72|469|51|1|472.99
72|469|52|2|624.83
72|689|1|2|1718.53
72|689|2|3|2199.52
72|689|3|5|1875.58
72|689|4|6|1869.26
72|689|5|7|2303.74
72|689|6|7|1596.99
72|689|7|8|2255.56
72|689|8|10|2163.77
72|689|9|10|2134.56
72|689|10|12|1630.7
72|689|11|13|1606.97
72|689|12|14|1911.01
72|689|13|15|2316.31
72|689|14|15|2175.52
72|689|15|17|2011.01
72|689|16|18|1610.41
72|689|17|19|1955.43
72|689|18|19|2300.56
72|689|19|21|1639.69
72|689|20|22|2177.19
72|689|21|22|1778.09
72|689|22|23|1874.62
72|689|23|25|2024.24
72|689|24|25|2198.11
72|689|25|26|2028.61
72|689|26|27|1603.65
72|689|27|28|1932.99
72|689|28|30|1806.09
72|689|29|31|2324.77
72|689|30|31|1635.93
72|689|31|33|1744.91
72|689|32|33|2019.46
72|689|33|35|1931.36
72|689|34|35|1829.97
72|689|35|37|1590.43
72|689|36|37|1789.39
72|689|37|39|2042.69
72|689|38|40|2196.7
72|689|39|41|2250.35
72|689|40|42|1453.21
72|689|41|43|1733.44
72|689|42|43|1532.17
72|689|43|44|1630.35
72|689|44|45|1969.16
72|689|45|47|1718.81
72|689|46|48|1411.96
72|689|47|48|2110.75
72|689|48|50|1814.63
72|689|49|50|1514.96
72|689|50|52|2121.88
72|689|51|52|2159.08
72|689|52|1|2088.38
72|780|1|2|2392.63
72|780|2|3|3146.92
72|780|3|5|2555.03
72|780|4|6|2625.77
72|780|5|6|2897.22
72|780|6|7|3134.45
72|780|7|9|3303.65
72|780|8|10|3142.74
72|780|9|10|2912.8
72|780|10|12|2889.45
72|780|11|12|3243.83
72|780|12|13|3013.79
72|780|13|14|3116.44
72|780|14|16|2914.94
72|780|15|16|2922.91
72|780|16|17|3599.3
72|780|17|19|3543.99
72|780|18|20|3473.45
72|780|19|20|3643.97
72|780|20|22|3079.44
72|780|21|22|3468.56
72|780|22|23|2852.25
72|780|23|25|3078.31
72|780|24|26|3348.14
72|780|25|26|3382.86
72|780|26|27|3407.09
72|780|27|28|2612.49
72|780|28|30|2907.34
72|780|29|31|3483.8
72|780|30|31|3744.43
72|780|31|33|2605.37
72|780|32|33|2750.44
72|780|33|34|2999.32
72|780|34|36|2494.68
72|780|35|36|3205.75
72|780|36|38|2645.03
72|780|37|38|2697.82
72|780|38|40|3215.74
72|780|39|41|3324.51
72|780|40|41|2168.19
72|780|41|43|2723.59
72|780|42|43|2381.55
72|780|43|45|2642.31
72|780|44|46|2537.8
72|780|45|47|2738.63
72|780|46|47|3130.25
72|780|47|49|2559.29
72|780|48|50|2992.79
72|780|49|50|3140.77
72|780|50|52|3190.6
72|780|51|52|2625.42
72|780|52|1|2708.57
72|963|1|2|1.52
72|963|2|4|2.01
72|963|3|4|1.42
72|963|4|5|1.83
72|963|5|7|1.84
72|963|6|8|1.88
72|963|7|8|1.8
72|963|8|10|1.39
72|963|9|10|1.49
72|963|10|11|1.42
72|963|11|12|1.89
72|963|12|13|1.42
72|963|13|15|1.48
72|963|14|15|1.61
72|963|15|17|1.79
72|963|16|17|1.8
72|963|17|19|1.53
72|963|18|19|1.82
72|963|19|21|1.51
72|963|20|22|1.93
72|963|21|23|1.45
72|963|22|24|1.41
72|963|23|24|1.76
72|963|24|26|1.85
72|963|25|27|2.03
72|963|26|28|1.75
72|963|27|28|1.95
72|963|28|29|1.51
72|963|29|30|1.6
72|963|30|31|1.49
72|963|31|32|1.47
72|963|32|33|1.44
72|963|33|34|1.77
72|963|34|36|1.44
72|963|35|36|1.69
72|963|36|38|1.51
72|963|37|39|1.83
72|963|38|40|1.57
72|963|39|41|1.8
72|963|40|41|1.29
72|963|41|42|1.69
72|963|42|43|1.32
72|963|43|44|1.6
72|963|44|45|1.2
72|963|45|47|1.53
72|963|46|48|1.37
72|963|47|48|1.54
72|963|48|50|1.42
72|963|49|50|1.71
72|963|50|52|1.48
72|963|51|52|1.46
72|963|52|2|1.26
72|1056|1|2|796.5
72|1056|2|4|1162.79
72|1056|3|5|1044.22
72|1056|4|5|1107.87
72|1056|5|6|850.62
72|1056|6|8|950.23
72|1056|7|9|1055.19
72|1056|8|9|904.48
72|1056|9|11|1083.69
72|1056|10|12|1187.14
72|1056|11|12|1118.57
72|1056|12|14|1114.58
72|1056|13|15|1142.9
72|1056|14|16|1059.72
72|1056|15|17|922.66
72|1056|16|17|899.57
72|1056|17|18|1156.41
72|1056|18|20|1283.89
72|1056|19|20|984.82
72|1056|20|22|940.83
72|1056|21|23|1125.39
72|1056|22|24|925.74
72|1056|23|25|950.63
72|1056|24|26|1179.64
72|1056|25|27|1014.85
72|1056|26|28|1065.14
72|1056|27|28|1078.58
72|1056|28|30|855.74
72|1056|29|31|1152.58
72|1056|30|32|1000.89
72|1056|31|33|1164.63
72|1056|32|33|859.42
72|1056|33|34|916.63
72|1056|34|36|1075.3
72|1056|35|37|1009.88
72|1056|36|37|911.46
72|1056|37|38|848.13
72|1056|38|39|984.99
72|1056|39|41|1144.04
72|1056|40|42|767.61
72|1056|41|43|1051.55
72|1056|42|44|1070.41
72|1056|43|45|1060.45
72|1056|44|45|1060.15
72|1056|45|47|896.44
72|1056|46|47|967.3
72|1056|47|48|867.39
72|1056|48|50|800.66
72|1056|49|51|948.29
72|1056|50|51|867.33
72|1056|51|52|807.69
72|1056|52|2|841.45
198|72|1|3|1541.57
198|72|2|3|1498.31
198|72|3|4|1820.24
198|72|4|5|1778.78
198|72|5|6|1631.49
198|72|6|8|1775.82
198|72|7|9|1332.76
198|72|8|10|1357.97
198|72|9|11|1785.72
198|72|10|11|1135.41
198|72|11|13|1090.3
198|72|12|14|1314.12
198|72|13|14|1503.43
198|72|14|16|913.99
198|72|15|17|1090.22
198|72|16|17|878.92
198|72|17|19|952.49
198|72|18|20|1258.84
198|72|19|21|1593.98
198|72|20|22|1204.21
198|72|21|22|1192.58
198|72|22|24|1259.85
198|72|23|24|1635.73
198|72|24|25|1306.34
198|72|25|26|1181.29
198|72|26|28|1558.19
198|72|27|29|1224.43
198|72|28|29|1756.68
198|72|29|30|1415.95
198|72|30|31|1601.53
198|72|31|32|1235.97
198|72|32|33|1353.42
198|72|33|34|1460.03
198|72|34|36|1609.54
198|72|35|36|1421.12
198|72|36|37|1692.04
198|72|37|39|1300.72
198|72|38|39|1212.65
198|72|39|41|1541.35
198|72|40|41|1254.11
198|72|41|43|1468.23
198|72|42|43|1461.47
198|72|43|44|1302.27
198|72|44|46|1348.08
198|72|45|47|1282.67
198|72|46|47|1377.91
198|72|47|48|1257.79
198|72|48|49|1060.74
198|72|49|51|1701.69
198|72|50|52|1319.51
198|72|51|1|1744.22
198|72|52|1|1487.78
198|258|1|3|633.49
198|258|2|3|619.47
198|258|3|4|546.56
198|258|4|6|540.88
198|258|5|6|553.59
198|258|6|8|637.64
198|258|7|9|553.31
198|258|8|10|701.34
198|258|9|11|519.45
198|258|10|11|547.92
198|258|11|12|575.71
198|258|12|13|474.33
198|258|13|15|576.31
198|258|14|16|381.16
198|258|15|17|408.89
198|258|16|17|410.63
198|258|17|18|479.75
198|258|18|19|589.37
198|258|19|21|466.57
198|258|20|21|522.75
198|258|21|22|430.47
198|258|22|23|620.11
198|258|23|25|664.21
198|258|24|26|635.45
198|258|25|27|662.56
198|258|26|28|448.39
198|258|27|29|519.57
198|258|28|30|487.52
198|258|29|31|554.17
198|258|30|31|597.44
198|258|31|32|650.2
198|258|32|33|557.41
198|258|33|35|637.39
198|258|34|36|486.68
198|258|35|37|637.34
198|258|36|37|523.22
198|258|37|38|499.73
198|258|38|40|628.64
198|258|39|40|642.86
198|258|40|42|438.94
198|258|41|42|577.05
198|258|42|44|431.21
198|258|43|44|398.42
198|258|44|45|499.74
198|258|45|46|537.22
198|258|46|48|562.52
198|258|47|49|512.14
198|258|48|50|534.78
198|258|49|50|619.08
198|258|50|52|586.79
198|258|51|52|475.49
198|258|52|2|468.39
198|780|1|2|18194.12
198|780|2|4|20073.74
198|780|3|4|16910.79
198|780|4|5|22992.96
198|780|5|7|17007.29
198|780|6|8|25181.04
198|780|7|8|21027.97
198|780|8|9|20669.98
