p_o|p_d|t_1|t_2|demand
72|198|1|2|899.39
72|198|2|3|841.12
72|198|3|4|1045.33
72|198|4|6|804.01
72|198|5|6|899.62
72|198|6|8|958.66
72|198|7|8|811.12
72|198|8|9|951.61
72|198|9|11|754.64
72|198|10|11|951.75
72|198|11|12|792.6
72|198|12|14|1032.81
72|198|13|15|894.8
72|198|14|15|762.2
72|198|15|16|919.24
72|198|16|17|1040.67
72|198|17|18|889.03
72|198|18|20|1116.1
72|198|19|21|878.71
72|198|20|21|817.34
72|198|21|22|951.8
72|198|22|24|777.1
72|198|23|24|878.18
72|198|24|26|853.92
72|198|25|27|1082.33
72|198|26|27|839.77
72|198|27|29|917.23
72|198|28|29|958.59
72|198|29|30|804.53
72|198|30|31|854.79
72|198|31|32|766.16
72|198|32|34|882.02
72|198|33|34|918.33
72|198|34|36|710.36
72|198|35|36|704.48
72|198|36|37|701.64
72|198|37|38|816.79
72|198|38|40|723.2
72|198|39|40|860.42
72|198|40|42|780.55
72|198|41|43|957.85
72|198|42|43|931.7
72|198|43|44|660.28
72|198|44|45|766.43
72|198|45|46|830.45
72|198|46|48|952.41
72|198|47|49|840.22
72|198|48|49|748.46
72|198|49|51|895.02
72|198|50|52|976.05
72|198|51|1|685.25
72|198|52|2|728.88
72|216|1|2|11.54
72|216|2|4|14.1
72|216|3|5|13.15
72|216|4|6|11.93
72|216|5|7|15.47
72|216|6|8|12.54
72|216|7|9|12.24
72|216|8|10|12.59
72|216|9|11|12.99
72|216|10|11|13.0
72|216|11|13|14.47
72|216|12|14|16.57
72|216|13|14|15.34
72|216|14|16|16.3
72|216|15|16|15.24
72|216|16|17|11.57
72|216|17|18|14.81
72|216|18|20|12.59
72|216|19|21|13.57
72|216|20|21|17.07
72|216|21|23|12.51
72|216|22|24|13.44
72|216|23|24|13.89
72|216|24|26|11.83
72|216|25|27|15.42
72|216|26|27|16.21
72|216|27|28|12.59
72|216|28|29|12.76
72|216|29|31|14.83
72|216|30|32|14.43
72|216|31|33|14.74
72|216|32|33|13.5
72|216|33|35|12.02
72|216|34|35|14.03
72|216|35|37|10.46
72|216|36|37|11.41
72|216|37|38|11.33
72|216|38|40|13.69
72|216|39|41|16.03
72|216|40|41|14.59
72|216|41|43|13.56
72|216|42|44|11.1
72|216|43|44|13.53
72|216|44|46|13.37
72|216|45|46|11.23
72|216|46|47|10.11
72|216|47|49|12.8
72|216|48|49|13.95
72|216|49|51|12.44
72|216|50|52|12.97
72|216|51|52|14.73
72|216|52|1|14.58
72|469|1|2|482.09
72|469|2|4|574.72
72|469|3|5|495.58
72|469|4|6|500.61
72|469|5|7|394.6
72|469|6|8|462.32
72|469|7|8|490.95
72|469|8|10|550.4
72|469|9|10|547.13
72|469|10|11|535.58
72|469|11|12|433.7
72|469|12|14|485.18
72|469|13|15|451.9
72|469|14|16|572.62
72|469|15|16|605.86
72|469|16|18|448.99
72|469|17|19|427.93
72|469|18|20|620.47
72|469|19|20|444.82
72|469|20|22|428.27
72|469|21|23|544.67
72|469|22|23|487.07
72|469|23|24|472.35
72|469|24|25|575.74
72|469|25|27|420.89
72|469|26|28|518.89
72|469|27|28|436.67
72|469|28|29|584.76
72|469|29|30|414.93
72|469|30|31|572.64
72|469|31|33|457.98
72|469|32|33|546.21
72|469|33|35|474.19
72|469|34|35|536.38
72|469|35|36|465.63
72|469|36|38|469.21
72|469|37|38|404.9
72|469|38|39|575.43
72|469|39|40|529.29
72|469|40|41|447.81
72|469|41|42|486.09
72|469|42|44|494.53
72|469|43|45|510.99
72|469|44|45|496.46
72|469|45|46|383.79
72|469|46|47|434.95
72|469|47|49|514.87
72|469|48|49|396.79
72|469|49|51|469.72
72|469|50|52|419.84
72|469|51|1|394.16
72|469|52|2|520.69
72|689|1|2|1432.11
72|689|2|3|1832.93
72|689|3|5|1562.98
72|689|4|6|1557.71
72|689|5|7|1919.78
72|689|6|7|1330.83
72|689|7|8|1879.64
72|689|8|10|1803.14
72|689|9|10|1778.8
72|689|10|12|1358.92
72|689|11|13|1339.14
72|689|12|14|1592.51
72|689|13|15|1930.25
72|689|14|15|1812.93
72|689|15|17|1675.84
72|689|16|18|1342.01
72|689|17|19|1629.53
72|689|18|19|1917.14
72|689|19|21|1366.41
72|689|20|22|1814.33
72|689|21|22|1481.74
72|689|22|23|1562.18
72|689|23|25|1686.87
72|689|24|25|1831.76
72|689|25|26|1690.51
72|689|26|27|1336.37
72|689|27|28|1610.82
72|689|28|30|1505.07
72|689|29|31|1937.31
72|689|30|31|1363.28
72|689|31|33|1454.09
72|689|32|33|1682.89
72|689|33|35|1609.47
72|689|34|35|1524.97
72|689|35|37|1325.36
72|689|36|37|1491.16
72|689|37|39|1702.24
72|689|38|40|1830.58
72|689|39|41|1875.29
72|689|40|42|1211.01
72|689|41|43|1444.53
72|689|42|43|1276.81
72|689|43|44|1358.63
72|689|44|45|1640.97
72|689|45|47|1432.34
72|689|46|48|1176.64
72|689|47|48|1758.95
72|689|48|50|1512.19
72|689|49|50|1262.46
72|689|50|52|1768.23
72|689|51|52|1799.23
72|689|52|1|1740.31
72|780|1|2|1993.86
72|780|2|3|2622.44
72|780|3|5|2129.2
72|780|4|6|2188.14
72|780|5|6|2414.35
72|780|6|7|2612.04
72|780|7|9|2753.04
72|780|8|10|2618.95
72|780|9|10|2427.33
72|780|10|12|2407.87
72|780|11|12|2703.19
72|780|12|13|2511.49
72|780|13|14|2597.04
72|780|14|16|2429.12
72|780|15|16|2435.75
72|780|16|17|2999.42
72|780|17|19|2953.32
72|780|18|20|2894.54
72|780|19|20|3036.65
72|780|20|22|2566.2
72|780|21|22|2890.47
72|780|22|23|2376.87
72|780|23|25|2565.26
72|780|24|26|2790.11
72|780|25|26|2819.05
72|780|26|27|2839.24
72|780|27|28|2177.08
72|780|28|30|2422.78
72|780|29|31|2903.17
72|780|30|31|3120.36
72|780|31|33|2171.14
72|780|32|33|2292.04
72|780|33|34|2499.44
72|780|34|36|2078.9
72|780|35|36|2671.46
72|780|36|38|2204.19
72|780|37|38|2248.18
72|780|38|40|2679.78
72|780|39|41|2770.42
72|780|40|41|1806.82
72|780|41|43|2269.66
72|780|42|43|1984.62
72|780|43|45|2201.92
72|780|44|46|2114.83
72|780|45|47|2282.19
72|780|46|47|2608.54
72|780|47|49|2132.74
72|780|48|50|2493.99
72|780|49|50|2617.31
72|780|50|52|2658.83
72|780|51|52|2187.85
72|780|52|1|2257.15
72|963|1|2|1.27
72|963|2|4|1.68
72|963|3|4|1.18
72|963|4|5|1.53
72|963|5|7|1.53
72|963|6|8|1.56
72|963|7|8|1.5
72|963|8|10|1.16
72|963|9|10|1.24
72|963|10|11|1.18
72|963|11|12|1.58
72|963|12|13|1.18
72|963|13|15|1.23
72|963|14|15|1.34
72|963|15|17|1.49
72|963|16|17|1.5
72|963|17|19|1.27
72|963|18|19|1.51
72|963|19|21|1.26
72|963|20|22|1.61
72|963|21|23|1.21
72|963|22|24|1.17
72|963|23|24|1.46
72|963|24|26|1.54
72|963|25|27|1.69
72|963|26|28|1.46
72|963|27|28|1.62
72|963|28|29|1.26
72|963|29|30|1.34
72|963|30|31|1.24
72|963|31|32|1.22
72|963|32|33|1.2
72|963|33|34|1.47
72|963|34|36|1.2
72|963|35|36|1.41
72|963|36|38|1.26
72|963|37|39|1.53
72|963|38|40|1.31
72|963|39|41|1.5
72|963|40|41|1.08
72|963|41|42|1.41
72|963|42|43|1.1
72|963|43|44|1.33
