p_o|p_d|t_1|t_2|demand
72|198|1|2|755.67
72|198|2|3|587.5
72|198|3|4|721.78
72|198|4|6|756.55
72|198|5|6|705.22
72|198|6|8|799.57
72|198|7|8|683.14
72|198|8|9|677.21
72|198|9|11|735.98
72|198|10|11|814.69
72|198|11|12|776.85
72|198|12|14|646.24
72|198|13|15|633.63
72|198|14|15|713.59
72|198|15|16|642.93
72|198|16|17|612.55
72|198|17|18|757.23
72|198|18|20|638.34
72|198|19|21|696.77
72|198|20|21|790.38
72|198|21|22|839.38
72|198|22|24|557.06
72|198|23|24|690.71
72|198|24|26|732.32
72|198|25|27|826.07
72|198|26|27|843.97
72|198|27|29|857.01
72|198|28|29|810.61
72|198|29|30|837.05
72|198|30|31|826.32
72|198|31|32|623.46
72|198|32|34|620.21
72|198|33|34|583.35
72|198|34|36|774.6
72|198|35|36|689.47
72|198|36|37|575.45
72|198|37|38|764.24
72|198|38|40|576.54
72|198|39|40|584.25
72|198|40|42|562.32
72|198|41|43|739.9
72|198|42|43|600.56
72|198|43|44|671.16
72|198|44|45|719.14
72|198|45|46|744.29
72|198|46|48|534.78
72|198|47|49|749.4
72|198|48|49|554.72
72|198|49|51|763.88
72|198|50|52|629.84
72|198|51|1|666.01
72|198|52|2|692.49
72|216|1|2|11.11
72|216|2|4|9.33
72|216|3|5|13.36
72|216|4|6|10.77
72|216|5|7|12.4
72|216|6|8|9.07
72|216|7|9|11.63
72|216|8|10|12.85
72|216|9|11|10.62
72|216|10|11|12.16
72|216|11|13|11.96
72|216|12|14|12.41
72|216|13|14|11.06
72|216|14|16|12.64
72|216|15|16|11.06
72|216|16|17|10.68
72|216|17|18|11.79
72|216|18|20|10.91
72|216|19|21|11.61
72|216|20|21|12.8
72|216|21|23|11.96
72|216|22|24|9.76
72|216|23|24|13.97
72|216|24|26|11.97
72|216|25|27|9.34
72|216|26|27|10.91
72|216|27|28|11.59
72|216|28|29|9.7
72|216|29|31|10.17
72|216|30|32|11.44
72|216|31|33|10.38
72|216|32|33|8.79
72|216|33|35|11.68
72|216|34|35|8.9
72|216|35|37|9.08
72|216|36|37|8.94
72|216|37|38|11.99
72|216|38|40|10.66
72|216|39|41|11.53
72|216|40|41|8.88
72|216|41|43|9.93
72|216|42|44|11.83
72|216|43|44|10.77
72|216|44|46|11.81
72|216|45|46|7.96
72|216|46|47|9.1
72|216|47|49|10.43
72|216|48|49|10.28
72|216|49|51|9.11
72|216|50|52|10.23
72|216|51|52|9.74
72|216|52|1|8.52
72|469|1|2|354.22
72|469|2|4|361.54
72|469|3|5|335.12
72|469|4|6|325.4
72|469|5|7|398.7
72|469|6|8|377.47
72|469|7|8|391.15
72|469|8|10|348.92
72|469|9|10|397.64
72|469|10|11|392.35
72|469|11|12|364.75
72|469|12|14|416.44
72|469|13|15|425.15
72|469|14|16|470.93
72|469|15|16|326.83
72|469|16|18|453.69
72|469|17|19|467.13
72|469|18|20|360.67
72|469|19|20|430.58
72|469|20|22|484.08
72|469|21|23|468.08
72|469|22|23|414.94
72|469|23|24|405.03
72|469|24|25|406.15
72|469|25|27|481.21
72|469|26|28|402.33
72|469|27|28|471.78
72|469|28|29|366.58
72|469|29|30|456.85
72|469|30|31|331.48
72|469|31|33|361.78
72|469|32|33|306.57
72|469|33|35|375.85
72|469|34|35|345.23
72|469|35|36|422.64
72|469|36|38|302.29
72|469|37|38|406.12
72|469|38|39|383.14
72|469|39|40|347.85
72|469|40|41|408.18
72|469|41|42|313.96
72|469|42|44|409.99
72|469|43|45|396.08
72|469|44|45|338.59
72|469|45|46|321.53
72|469|46|47|286.68
72|469|47|49|351.89
72|469|48|49|409.0
72|469|49|51|420.62
72|469|50|52|363.83
72|469|51|1|386.89
72|469|52|2|386.37
72|689|1|2|1373.46
72|689|2|3|1125.91
72|689|3|5|1307.58
72|689|4|6|1119.79
72|689|5|7|1418.57
72|689|6|7|1484.53
72|689|7|8|1489.59
72|689|8|10|1099.88
72|689|9|10|1053.74
72|689|10|12|1582.91
72|689|11|13|1544.99
72|689|12|14|1477.82
72|689|13|15|1422.63
72|689|14|15|1173.74
72|689|15|17|1459.06
72|689|16|18|1204.59
72|689|17|19|1430.91
72|689|18|19|1503.03
72|689|19|21|1099.5
72|689|20|22|1578.83
72|689|21|22|1170.52
72|689|22|23|1301.82
72|689|23|25|1285.27
